активн: активная, активно
александр: александр
александрович: александрович
алмат: алматы
альтернативн: альтернативное
анализ: анализ
анастасия: анастасия
англ: англ
аннотация: аннотация
архивны: архивные
аспект: аспекты
ассортимент: ассортимента
атмосфер: атмосферу
аудиодорожк: аудиодорожки
аудитори: аудиторию
базирующийся: базирующийся
банн: банно
библиографи: библиографии
биографи: биографии
благодаря: благодаря
боле: более
большу: большую
будущ: будущих
был: был, были
важны: важные
вдохновения: вдохновения
ведется: ведется
величк: величко
вершин: вершина
взаимодействи: взаимодействие
взаимодействует: взаимодействует
виктор: виктора, виктору
викторовн: викторовна
виртуальн: виртуальной
виртуальну: виртуальную
включает: включает
включают: включают
включенны: включенные
влияющ: влияющих
внесубъектн: внесубъектной
возможност: возможность
вопрос: вопросы
воспроизведен: воспроизведены
времен: времени
время: время
втор: второй
выбор: выбор
выдающихся: выдающихся
высок: высокой
выступают: выступают
выступлени: выступлений
выявлен: выявлены
гвардейц: гвардейцев
где: где
гид: гида, гиды
главн: главной
глубок: глубоко, глубокого
глубоки: глубокий
год: года
голос: голосами
город: городе
готовятся: готовятся
гран: грани
гром: громов
дальш: дальше
дан: данного
данн: данной, данном
два: два
двух: двух
десятк: десятка
деятельност: деятельности, деятельность
диан: диана
дополненну: дополненную
доступност: доступности
друг: другом
его: его
женисбековн: женисбековна
жизн: жизни
журнал: журнал
задач: задач
заключается: заключается
закупает: закупает
запис: запись
зарегистрированн: зарегистрированными
звезд: звезда, звезды
здес: здесь
знамениты: знаменитые
значим: значимым
игл: игла
иде: идеи
из: из
избыточност: избыточности
изображен: изображениями
изучени: изучение
изучения: изучения
иллюзи: иллюзии
им: им
имен: имени
имитируют: имитируют
иммерсивн: иммерсивной, иммерсивных
иммерсивност: иммерсивности
иммерсивны: иммерсивные
инновационны: инновационные
интеллектуальн: интеллектуальных
интерактивн: интерактивных
интерактивност: интерактивности
интерактивны: интерактивные
интервь: интервью
интонаци: интонации
искусств: искусства
искусственн: искусственно
использовани: использование
исследовани: исследовании
исследования: исследования
истори: истории, историю
исторически: исторические
источник: источников
их: их
